bhk,type,locality,area,price,price_unit,region,status,age,price _INR,Rent_price
1,Apartment,B G Shirke Monte Verita North Annexe,510,88,L,Borivali East,Ready to move,New,8800000,7333.333333
1,Apartment,Swaminarayan City Phase 1A,705,43,L,Dombivali,Under Construction,New,4300000,3583.333333
2,Apartment,Tanvi Eminence Phase 2,788,71,L,Mira Road East,Ready to move,New,7100000,5916.666667
1,Apartment,Metro Paramount,707,35.42,L,Shil Phata,Under Construction,New,3542000,2951.666667
1,Apartment,Mehta Amrut Heaven,700,55,L,Kalyan West,Ready to move,Resale,5500000,4583.333333
2,Apartment,Tridev Balaji Apartment,624,1.56,Cr,Mulund West,Under Construction,New,15600000,13000
2,Apartment,Laxmi Shrushti Wing B,980,1.6,Cr,Goregaon West,Under Construction,New,16000000,13333.33333
1,Apartment,Lokhandwala Spring Leaf,425,78,L,Kandivali East,Ready to move,Resale,7800000,6500
1,Apartment,Reputed Builder Wild Wood Park 2,651,20,L,Andheri West,Ready to move,Resale,2000000,1666.666667
2,Apartment,Piramal Revanta Tower 1,890,2.3,Cr,Mulund West,Under Construction,New,23000000,19166.66667
2,Apartment,Sahakar Gloris,1200,1.6,Cr,Dahisar,Ready to move,Resale,16000000,13333.33333
3,Apartment,Hiranandani Glen Dale,2150,7.5,Cr,Powai,Ready to move,Resale,75000000,62500
4,Apartment,Hiranandani Estate,3500,4.75,Cr,Thane West,Ready to move,Unknown,47500000,39583.33333
2,Apartment,Rockford Saptarshi Classic,632,1.15,Cr,Kurla,Under Construction,New,11500000,9583.333333
3,Apartment,Samrin Heritage,1578,2.74,Cr,Thane West,Under Construction,New,27400000,22833.33333
2,Apartment,Nexus Ratan Heritage,856,1.65,Cr,Jogeshwari East,Under Construction,New,16500000,13750
1,Apartment,Squarefeet Grand Square,500,47,L,Thane West,Ready to move,Resale,4700000,3916.666667
2,Apartment,Bachraj Lifespace,643,45,L,Virar,Under Construction,New,4500000,3750
2,Apartment,Harshal Devchhaya,1125,1.31,Cr,Dahisar,Under Construction,New,13100000,10916.66667
3,Apartment,Rustomjee La Familia Wing C,1076,2.14,Cr,Thane West,Under Construction,New,21400000,17833.33333
3,Apartment,Shapoorji Pallonji Vicinia,1068,3.52,Cr,Powai,Under Construction,New,35200000,29333.33333
